1f, 7ffffffe, 80000001,                 1267,                  267
1f, 00000000, 00000000,                 1523,                  256
01, edeacadb, 12153524,                 1788,                  265
01, 00000000, 00000000,                 2044,                  256
03, 7b7b29f6, 8484d609,                 2308,                  264
03, 00000000, 00000000,                 2564,                  256
0d, f94684f2, 06b97b0d,                 2828,                  264
0d, 00000000, 00000000,                 3084,                  256
12, 4d3d7b9a, b2c28465,                 3350,                  266
12, 00000000, 00000000,                 3606,                  256
0d, ff0c1cfe, 00f3e301,                 3872,                  266
0d, 00000000, 00000000,                 4128,                  256
1d, c4dc0e89, 3b23f176,                 4394,                  266
1d, 00000000, 00000000,                 4650,                  256
0c, 892ba812, 76d457ed,                 4915,                  265
0c, 00000000, 00000000,                 5170,                  255
06, 83021606, 7cfde9f9,                 5434,                  264
06, 00000000, 00000000,                 5689,                  255
08, 7ffffffe, 80000001,                 5953,                  264
08, 00000000, 00000000,                 6209,                  256
10, 7ffffffe, 80000001,                 6476,                  267
10, 00000000, 00000000,                 6732,                  256
11, 7ffffffe, 80000001,                 6996,                  264
11, 00000000, 00000000,                 7252,                  256
1a, 7ffffffe, 80000001,                 7517,                  265
1a, 00000000, 00000000,                 7773,                  256
02, 7ffffffe, 80000001,                 8039,                  266
02, 00000000, 00000000,                 8295,                  256
1a, 7ffffffe, 80000001,                 8562,                  267
1a, 00000000, 00000000,                 8818,                  256
15, 7ffffffe, 80000001,                 9083,                  265
15, 00000000, 00000000,                 9339,                  256
1f, 7ffffffe, 80000001,                 9604,                  265
1f, 00000000, 00000000,                 9860,                  256
02, 7ffffffe, 80000001,                10126,                  266
02, 00000000, 00000000,                10382,                  256
0c, 892ba812, 76d457ed,                10646,                  264
0c, 00000000, 00000000,                10901,                  255
13, 7943c7f2, 86bc380d,                11167,                  266
13, 00000000, 00000000,                11423,                  256
15, ca602294, 359fdd6b,                11687,                  264
15, 00000000, 00000000,                11942,                  255
0e, 7ee8b5fd, 81174a02,                12208,                  266
0e, 00000000, 00000000,                12464,                  256
0f, f10016e2, 0effe91d,                12728,                  264
0f, 00000000, 00000000,                12983,                  255
0a, ee7bb6dc, 11844923,                13247,                  264
0a, 00000000, 00000000,                13503,                  256
1c, 1a8cf535, e5730aca,                13769,                  266
1c, 00000000, 00000000,                14025,                  256
0a, 8697420d, 7968bdf2,                14290,                  265
0a, 00000000, 00000000,                14546,                  256
18, df3b4cbe, 20c4b341,                14812,                  266
18, 00000000, 00000000,                15068,                  256
09, c3df0c87, 3c20f378,                15333,                  265
09, 00000000, 00000000,                15589,                  256
