R_Addr, R1[31:0], R0[31:0], total_time(ps), read_delay(ps)
1f, 80000001, 7ffffffe,                 1266,                  266
1f, 00000000, 00000000,                 1522,                  256
01, 12153524, edeacadb,                 1787,                  265
01, 00000000, 00000000,                 2042,                  255
03, 8484d609, 7b7b29f6,                 2306,                  264
03, 00000000, 00000000,                 2562,                  256
0d, 06b97b0d, f94684f2,                 2827,                  265
0d, 00000000, 00000000,                 3083,                  256
12, b2c28465, 4d3d7b9a,                 3349,                  266
12, 00000000, 00000000,                 3605,                  256
0d, 00f3e301, ff0c1cfe,                 3870,                  265
0d, 00000000, 00000000,                 4126,                  256
1d, 3b23f176, c4dc0e89,                 4392,                  266
1d, 00000000, 00000000,                 4648,                  256
0c, 76d457ed, 892ba812,                 4913,                  265
0c, 00000000, 00000000,                 5169,                  256
06, 7cfde9f9, 83021606,                 5434,                  265
06, 00000000, 00000000,                 5690,                  256
08, 80000001, 7ffffffe,                 5954,                  264
08, 00000000, 00000000,                 6209,                  255
10, 80000001, 7ffffffe,                 6475,                  266
10, 00000000, 00000000,                 6731,                  256
11, 80000001, 7ffffffe,                 6994,                  263
11, 00000000, 00000000,                 7250,                  256
1a, 80000001, 7ffffffe,                 7514,                  264
1a, 00000000, 00000000,                 7770,                  256
02, 80000001, 7ffffffe,                 8035,                  265
02, 00000000, 00000000,                 8291,                  256
1a, 80000001, 7ffffffe,                 8557,                  266
1a, 00000000, 00000000,                 8813,                  256
15, 80000001, 7ffffffe,                 9077,                  264
15, 00000000, 00000000,                 9333,                  256
1f, 80000001, 7ffffffe,                 9597,                  264
1f, 00000000, 00000000,                 9853,                  256
02, 80000001, 7ffffffe,                10118,                  265
02, 00000000, 00000000,                10374,                  256
0c, 76d457ed, 892ba812,                10639,                  265
0c, 00000000, 00000000,                10895,                  256
13, 86bc380d, 7943c7f2,                11161,                  266
13, 00000000, 00000000,                11416,                  255
15, 359fdd6b, ca602294,                11680,                  264
15, 00000000, 00000000,                11936,                  256
0e, 81174a02, 7ee8b5fd,                12201,                  265
0e, 00000000, 00000000,                12457,                  256
0f, 0effe91d, f10016e2,                12721,                  264
0f, 00000000, 00000000,                12977,                  256
0a, 11844923, ee7bb6dc,                13241,                  264
0a, 00000000, 00000000,                13497,                  256
1c, e5730aca, 1a8cf535,                13763,                  266
1c, 00000000, 00000000,                14019,                  256
0a, 7968bdf2, 8697420d,                14285,                  266
0a, 00000000, 00000000,                14541,                  256
18, 20c4b341, df3b4cbe,                14807,                  266
18, 00000000, 00000000,                15063,                  256
09, 3c20f378, c3df0c87,                15328,                  265
09, 00000000, 00000000,                15584,                  256
11, 80000001, 7ffffffe,                15849,                  265
11, 00000000, 00000000,                16105,                  256
15, 359fdd6b, ca602294,                16370,                  265
15, 00000000, 00000000,                16626,                  256
0e, 634bf9c6, 9cb40639,                16892,                  266
0e, 00000000, 00000000,                17148,                  256
10, 80000001, 7ffffffe,                17413,                  265
10, 00000000, 00000000,                17668,                  255
05, 96ab582d, 6954a7d2,                17934,                  266
05, 00000000, 00000000,                18190,                  256
0a, de7502bc, 218afd43,                18454,                  264
0a, 00000000, 00000000,                18710,                  256
06, 7cfde9f9, 83021606,                18975,                  265
06, 00000000, 00000000,                19231,                  256
13, 86bc380d, 7943c7f2,                19497,                  266
13, 00000000, 00000000,                19753,                  256
10, 80000001, 7ffffffe,                20017,                  264
10, 00000000, 00000000,                20272,                  255
17, 7c6da9f8, 83925607,                20537,                  265
17, 00000000, 00000000,                20793,                  256
1c, cfc4569f, 303ba960,                21057,                  264
1c, 00000000, 00000000,                21313,                  256
09, adcbc05b, 52343fa4,                21578,                  265
09, 00000000, 00000000,                21834,                  256
10, a4ae3249, 5b51cdb6,                22100,                  266
10, 00000000, 00000000,                22355,                  255
11, ebfec0d7, 14013f28,                22619,                  264
11, 00000000, 00000000,                22874,                  255
0c, 4b212f96, b4ded069,                23139,                  265
0c, 00000000, 00000000,                23395,                  256
08, e12ccec2, 1ed3313d,                23659,                  264
08, 00000000, 00000000,                23915,                  256
1d, bb825a77, 447da588,                24181,                  266
1d, 00000000, 00000000,                24437,                  256
06, 7cfde9f9, 83021606,                24703,                  266
06, 00000000, 00000000,                24959,                  256
0c, 4b212f96, b4ded069,                25223,                  264
0c, 00000000, 00000000,                25478,                  255
07, 80000001, 7ffffffe,                25742,                  264
07, 00000000, 00000000,                25997,                  255
16, 75c50deb, 8a3af214,                26263,                  266
16, 00000000, 00000000,                26519,                  256
15, bf23327e, 40dccd81,                26783,                  264
15, 00000000, 00000000,                27039,                  256
19, 36e5816d, c91a7e92,                27303,                  264
19, 00000000, 00000000,                27559,                  256
03, 8484d609, 7b7b29f6,                27824,                  265
03, 00000000, 00000000,                28079,                  255
19, 36e5816d, c91a7e92,                28346,                  267
19, 00000000, 00000000,                28602,                  256
1c, c71a0c8e, 38e5f371,                28866,                  264
1c, 00000000, 00000000,                29121,                  255
