W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
01, 12153524, edeacadb,                 1261,                  261
01, 00000000, 00000000,                 1544,                  283
63, 8484d609, 7b7b29f6,                 1812,                  268
63, 00000000, 00000000,                 2098,                  286
0d, 06b97b0d, f94684f2,                 2371,                  273
0d, 00000000, 00000000,                 2656,                  285
12, b2c28465, 4d3d7b9a,                 2922,                  266
12, 00000000, 00000000,                 3207,                  285
0d, 00f3e301, ff0c1cfe,                 3479,                  272
0d, 00000000, 00000000,                 3764,                  285
3d, 3b23f176, c4dc0e89,                 4032,                  268
3d, 00000000, 00000000,                 4320,                  288
0c, 76d457ed, 892ba812,                 4584,                  264
0c, 00000000, 00000000,                 4867,                  283
46, 7cfde9f9, 83021606,                 5138,                  271
46, 00000000, 00000000,                 5427,                  289
2a, e2f784c5, 1d087b3a,                 5697,                  270
2a, 00000000, 00000000,                 5985,                  288
77, 72aff7e5, 8d50081a,                 6256,                  271
77, 00000000, 00000000,                 6545,                  289
0f, 8932d612, 76cd29ed,                 6811,                  266
0f, 00000000, 00000000,                 7096,                  285
